STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,55,63,5555,55
1,10001,2,1,12,14,2,6
1,10001,3,1,55,69,5555,55
1,10001,4,1,0,1,9999,77
1,10002,1,1,55,64,5555,55
1,10002,2,1,12,38,9999,77
1,10002,3,1,55,67,5555,55
1,10002,4,1,12,32,9999,77
1,10002,5,1,0,2,9999,77
1,10003,1,1,55,64,5555,55
1,10003,2,1,55,69,5555,55
1,10003,3,1,55,63,5555,55
1,10003,4,1,11,24,9999,77
1,10003,5,1,55,69,5555,55
1,10003,6,2,1,18,9999,77
1,10003,7,2,12,12,1,10
1,10004,1,1,55,64,5555,55
1,10004,2,1,55,69,5555,55
1,10004,3,1,55,63,5555,55
1,10004,4,1,11,24,9999,77
1,10005,1,1,12,12,2,6
1,10006,1,1,55,63,5555,55
1,10006,2,1,12,14,2,6
1,10006,3,1,19,8,9999,77
1,10007,1,1,12,8,9999,77
1,10008,1,1,12,12,2,6
1,10008,2,1,12,8,9999,77
1,10009,1,1,55,64,5555,55
1,10009,2,1,12,59,9999,77
1,10010,1,1,12,8,9999,77
1,10011,1,1,55,65,5555,55
1,10011,2,1,55,68,5555,55
1,10011,3,1,12,12,2,12
1,10011,4,3,12,12,2,3
1,10012,1,1,55,64,5555,55
1,10012,2,1,0,1,9999,77
1,10012,3,1,55,65,5555,55
1,10012,4,1,55,64,5555,55
1,10012,5,1,12,30,9999,77
1,10013,1,2,12,12,1,11
1,10013,2,1,19,54,3,12
1,10014,1,1,55,68,5555,55
1,10014,2,1,12,12,2,12
1,10015,1,1,55,63,5555,55
1,10015,2,1,12,42,9999,77
1,10016,1,1,55,68,5555,55
1,10016,2,1,55,64,5555,55
1,10016,3,1,11,24,9999,77
1,10016,4,1,55,69,5555,55
1,10016,5,1,55,68,5555,55
1,10016,6,1,55,63,5555,55
1,10016,7,1,0,1,9999,77
1,10017,1,1,1,8,9999,77
1,10018,1,1,12,12,2,2
1,10018,2,1,98,12,2,98
1,10019,1,1,55,68,5555,55
1,10019,2,1,55,64,5555,55
1,10019,3,1,12,42,9999,77
1,10019,4,1,98,59,9999,77
1,10020,1,2,12,12,1,9
1,10021,1,1,12,12,2,11
1,10022,1,1,55,68,5555,55
1,10022,2,1,12,12,2,12
1,10022,3,2,55,63,5555,55
1,10022,4,2,0,1,9999,77
1,10023,1,2,12,12,1,1
1,10023,2,2,55,63,5555,55
1,10023,3,2,12,34,9999,77
1,10024,1,1,55,68,5555,55
1,10024,2,1,12,12,2,12
1,10025,1,1,12,12,2,12
1,10025,2,1,0,1,9999,77
1,10026,1,1,55,63,5555,55
1,10026,2,1,12,32,9999,77
1,10026,3,1,98,35,9999,77
1,10026,4,1,98,30,9999,77
1,10026,5,1,0,1,9999,77
1,10027,1,1,12,8,9999,77
1,10028,1,1,55,68,5555,55
1,10028,2,1,3,12,2,12
1,10029,1,1,55,63,5555,55
1,10029,2,1,12,34,9999,77
1,10029,3,1,12,42,9999,77
1,10030,1,1,55,68,5555,55
1,10030,2,1,12,12,2,12
1,10031,1,1,12,12,2,3
1,10032,1,1,12,8,9999,77
1,10033,1,1,55,63,5555,55
1,10033,2,1,12,42,9999,77
1,10034,1,1,12,8,9999,77
1,10035,1,1,12,12,2,6
1,10036,1,1,55,68,5555,55
1,10036,2,1,55,64,5555,55
1,10036,3,1,1,42,9999,77
1,10037,1,1,55,68,5555,55
1,10037,2,1,55,64,5555,55
1,10037,3,1,12,34,9999,77
1,10037,4,1,12,42,9999,77
1,10037,5,1,0,1,9999,77
1,10038,1,1,55,63,5555,55
1,10038,2,1,9,42,9999,77
1,10039,1,2,12,12,1,8
1,10040,1,1,55,63,5555,55
1,10040,2,1,9,42,9999,77
1,10041,1,1,55,63,5555,55
1,10041,2,1,12,32,9999,77
1,10041,3,1,0,1,9999,77
1,10042,1,1,55,63,5555,55
1,10042,2,1,12,42,9999,77
1,10042,3,1,0,1,9999,77
1,10042,4,1,0,2,9999,77
1,10043,1,1,55,68,5555,55
1,10043,2,1,12,12,2,12
1,10044,1,1,55,68,5555,55
1,10044,2,1,55,64,5555,55
1,10044,3,2,55,63,5555,55
1,10044,4,1,12,12,2,12
1,10045,1,1,12,12,2,12
1,10045,2,1,55,64,5555,55
1,10045,3,1,0,1,9999,77
1,10046,1,1,55,63,5555,55
1,10046,2,1,55,65,5555,55
1,10046,3,1,3,12,2,12
1,10047,1,1,55,68,5555,55
1,10047,2,1,12,12,2,12
1,10048,1,1,55,68,5555,55
1,10048,2,1,12,12,2,12
1,10048,3,2,55,63,5555,55
1,10048,4,2,12,42,9999,77
1,10049,1,1,55,68,5555,55
1,10049,2,1,55,68,5555,55
1,10049,3,1,55,63,5555,55
1,10049,4,1,11,34,9999,77
1,10049,5,1,0,1,9999,77
1,10049,6,1,0,3,9999,77
1,10050,1,1,55,68,5555,55
1,10050,2,1,12,12,2,9
1,10050,3,2,55,63,5555,55
1,10050,4,2,10,43,9999,77
1,10051,1,1,55,63,5555,55
1,10051,2,1,99,34,9999,77
1,10051,3,1,0,3,9999,77
1,10052,1,1,55,63,5555,55
1,10052,2,1,12,18,9999,77
1,10052,3,1,14,34,9999,77
1,10053,1,1,55,68,5555,55
1,10053,2,1,12,12,2,12
1,10054,1,1,55,63,5555,55
1,10054,2,1,55,69,5555,55
1,10054,3,1,55,68,5555,55
1,10054,4,1,55,68,5555,55
1,10054,5,1,55,63,5555,55
1,10054,6,1,12,42,9999,77
1,10054,7,1,0,1,9999,77
1,10055,1,1,12,8,9999,77
1,10056,1,1,55,64,5555,55
